日期,房屋施工面积,房屋新开工面积,房屋竣工面积,商品房销售面积,净停工面积
2012-02,394900.815,20048.6533,10093.9184,7004.1538,39303.3744
2012-03,409221.4913,39946.2726,17880.3954,15239.1518,44880.3174
2012-04,427187.373,54467.7993,22295.8667,21561.6639,41435.9624
2012-05,451363.6977,72859.2988,27305.5161,28852.454,35651.1372
2012-06,475613.7705,92379.6729,33258.806,39964.3772,30921.4385
2012-07,489216.1425,103904.5471,38607.9205,48593.231,28843.9407
2012-08,511657.2932,122940.4324,44602.8723,57414.8215,25438.6753
2012-09,525376.5392,135014.433,50566.6207,68441.4094,23793.4299
2012-10,538149.2035,146792.195,58317.0888,78742.9388,22798.5276
2012-11,556657.8808,162413.2175,67706.002,91704.9864,19910.8728
2012-12,573417.5193,177333.6174,99424.9584,111303.6464,18071.6342
2013-02,455422.4329,23001.0182,13524.4388,10471.1444,41571.1462
2013-03,478949.5761,38872.9504,19473.4052,20897.9819,33915.9352
2013-04,500617.6878,55505.8849,23758.8967,29760.5245,28880.758
2013-05,523430.9778,73613.2859,28745.0652,39118.1284,24174.869
2013-06,549408.4178,95901.089,35346.0669,51433.3314,20485.2321
2013-07,568680.9497,112637.7235,41642.713,61133.2821,17949.3347
2013-08,585552.7889,127840.3119,46649.6626,70841.9029,16280.0839
2013-09,603981.6362,144899.5572,52705.6116,84383.3073,14910.4819
2013-10,616465.0644,156274.9978,59390.1894,95930.9868,13802.4943
2013-11,646096.1141,181054.684,69419.6549,110806.7986,8951.1308
2013-12,665571.8884,201207.8421,101434.992,130550.5927,9628.5146
2014-02,529592.9191,16693.0092,12418.2389,10465.6186,51236.9865
2014-03,547030.4357,29089.6613,18520.1746,20111.1797,46196.122
2014-04,564782.4873,43234.3176,23685.4574,27709.257,42588.7267
2014-05,586080.9109,59912.4681,30700.4241,36069.6001,37968.4536
2014-06,611405.6381,80125.7391,38214.9627,48365.2319,32856.9974
2014-07,632684.9243,98231.7657,43524.4947,56479.5886,29683.7378
2014-08,652952.5022,114381.5152,49758.8136,64987.4988,25565.9094
2014-09,673229.9814,131410.9658,56503.7992,77131.8194,22317.8808
2014-10,692132.2995,147661.0076,63888.877,88493.8134,19665.6045
2014-11,711307.4448,164705.4646,75062.6582,101716.5716,17534.9162
2014-12,726482.338,179592.4926,107459.0455,120648.5414,17247.051
2015-02,570096.7821,13743.5226,10814.5391,8763.8947,62670.033
2015-03,584018.3757,23723.6211,16993.6495,18254.4408,58728.5379
2015-04,599580.424,35756.0867,21209.9366,26384.5683,55198.9552
2015-05,616903.0565,50304.7543,26611.4156,35996.3809,52424.9903
2015-06,637563.0019,67478.7752,32941.2501,50263.6392,48939.0658
2015-07,654172.4824,81730.656,37833.3662,59914.4209,46581.4661
2015-08,669359.6887,95181.8469,42475.1689,69674.9581,44845.4507
2015-09,693652.0634,114814.3126,50967.0387,82908.246,40185.5417
2015-10,707805.0619,127085.8475,61200.6356,94898.1213,38304.0781
2015-11,723989.9151,140568.6552,72412.8939,109252.7361,35602.0326
2015-12,735693.3687,154453.6757,100039.1003,128494.966,37783.5995
2016-02,603543.7185,15620.2106,13941.8395,11234.5581,47730.7605
2016-03,617975.2073,28281.4211,20000.8186,24299.2063,45960.4822
2016-04,634261.0659,43425.4327,25478.2232,36012.2433,44818.6352
2016-05,651338.1112,59521.6077,32027.6971,47954.2155,43837.7649
2016-06,669750.4922,77536.9261,39545.9559,64302.4933,43440.7023
2016-07,685605.6756,92944.1806,45903.7832,75760.1893,42992.7734
2016-08,700120.9754,106833.5923,50592.3005,87450.7747,42366.8853
2016-09,716028.884,122655.3229,57111.8073,105184.5309,42280.7073
2016-10,730980.8133,137375.4045,65211.1564,120338.2785,42048.8596
2016-11,745121.758,151303.4818,77036.6043,135829.485,41835.9922
2016-12,758974.803,166928.1283,106127.7077,157348.5293,43607.5937
2017-02,622950.2921,17238.3869,16140.7728,14054.3393,47135.1901
2017-03,636977.0139,31559.6961,23030.7332,29034.8485,47429.7775
2017-04,654053.5708,48239.9237,28173.5849,41655.1535,47033.4482
2017-05,671438.2293,65178.7326,33911.0603,54820.4995,46587.5986
2017-06,692325.9431,85719.612,41524.0132,74661.7025,46240.7642
2017-07,707312.8054,100370.8039,47020.6039,86350.8887,45905.0938
2017-08,721780.6027,114996.1956,52296.2999,98539.0236,46062.6882
2017-09,738064.5254,131032.743,57693.8316,116006.163,45815.3129
2017-10,752333.6852,145127.0709,65612.2786,130253.9,45640.481
2017-11,768442.6858,161678.6451,76245.0113,146568.32,46083.0546
2017-12,781483.726,178653.7704,101486.4099,169407.8154,50017.1397
2018-02,632001.5634,17746.2857,14184.365,14632.6386,65742.0384
2018-03,646555.5258,34614.9647,20708.9354,30088.4018,68056.755
2018-04,664409.8214,51779.0267,25150.7349,42192.0576,67366.5214
2018-05,684991.1154,72190.3399,30483.7781,56409.0927,67196.5406
2018-06,709649.4162,95816.5997,37130.8508,77143.2816,66164.4996
2018-07,728593.3314,114780.621,42066.6849,89989.5302,66184.6057
2018-08,747658.4776,133293.1527,46229.9387,102473.5269,65631.9912
2018-09,767217.9461,152582.7223,51132.0956,119312.7747,65362.0923
2018-10,784424.6523,168754.0467,57391.8068,133116.8536,64326.7105
2018-11,804886.0123,188894.5327,66855.7354,148603.9296,64005.8365
2018-12,822300.2399,209341.7939,93550.1122,171654.3616,67038.8701
2019-02,674945.9407,18813.78,12499.7574,14102.145,72617.967
2019-03,699444.2225,38728.4306,18474.0948,29828.941,68034.3358
2019-04,722569.2319,58552.3435,22563.9283,42085.4519,64733.2393
2019-05,745285.6705,79783.5337,26706.9025,55518.0532,63247.9909
2019-06,772292.4184,105508.5983,32425.7697,75785.5907,61966.3076
2019-07,794207.4763,125715.8784,37330.7549,88783,60258.5298
2019-08,813156.4898,145133.0673,41610.2736,101848.5612,60726.7052
2019-09,834201.1785,165706.7083,46748.2825,119178.5328,60255.6575
2019-10,854881.7971,185634.4244,54211.1425,133250.6792,59502.755
2019-11,874813.9267,205194.4325,63846.4856,148905.0175,59130.6335
2019-12,893820.8892,227153.5829,95941.5331,171557.8676,62082.8214
2020-02,694241.2034,10369.6249,9635.5364,8474.95,114007.7776
2020-03,717886.4104,28202.9939,15557.2103,21978.3239,108195.9396
2020-04,740567.7301,47767.624,19286.0497,33972.5809,105079.25
2020-05,762627.7455,69532.8093,23687.1203,48702.9687,104784.4199
2020-06,792721.1811,97536.429,29029.8056,69403.6779,102694.604
2020-07,818279.7123,120031.5376,33248.413,83631.362,99631.1814
2020-08,839733.5981,139916.9627,37107.484,98485.9545,98062.7207
2020-09,859820.2679,160090.002,41338.2046,117072.6729,98149.0902
2020-10,880117.46,180718.42,49239.73,133293.8,98480.3161
2020-11,902424.8,201084.67,59172.64,150834.45,96539.2261
2020-12,926759.19,224433.13,91218.23,176086.22,95553.2961
2021-02,770628.9,17036.94,13524.97,17363.14,81949
2021-03,798393.9,36162.54,19121.96,36007.05,73309.6
2021-04,818512.9212,53904.5473,22735.5244,50305.004,70932.5861
2021-05,839961.6273,74348.7118,27582.6859,66383.3227,69928.0445
2021-06,873250.6121,101288.3407,36481.04,88635.3483,63578.6886
2021-07,891880.286,118948.2719,41782.253,101648.1757,62608.9459
2021-08,909992.02,135502.08,46738.95,114192.81,61051.02
2021-09,928064.7215,152943.5867,51012.6536,130331.7755,60419.8252
2021-10,942858.6338,166736.2535,57290.2782,143040.7145,59418.5797
2021-11,959653.8198,182819.5344,68753.8222,158130.7308,58706.6746
2021-12,975386.5101,198895.0471,101411.9393,179433.4099,59049.497
2022-02,784459.24,14966.74,12199.53,15702.61,104482.0708
2022-03,806259.46,29837.59,16929.25,31045.96,97552.7008
2022-04,818587.74,39739.01,20030.06,39768.15,95125.8408
2022-05,831525.06,51628.07,23361.6,50738.38,94077.5808
2022-06,848811.9924,66423.4714,28635.7902,68923.0422,91586.0498
2022-07,859194.16,76066.76,32027.62,78177.97,90847.1708
2022-08,868648.52,85061.83,36861.14,87890.4,90387.8808
2022-09,878919.41,94767.26,40878.97,101421.72,89822.4208
2022-10,888893.8,103721.71,46564.58,111179.29,88802.4808
